SNR_Target_dB, MSE_LS                , MSE_LMMSE             , Gain_dB
-5.0         , 0.20031985617451556   , 0.19980356943540048   , 0.011207572062165749
-5.0         , 0.04085843607149847   , 0.04085555444735529   , 0.00030630580072662773
-5.0         , 0.02045809268291174   , 0.0204900721308061    , -0.006783454468174782
-5.0         , 0.27565415312162395   , 0.26975643471434807   , 0.09392727078751645
-5.0         , 0.08205654431623338   , 0.08288989961974054   , -0.04388390323556212
-5.0         , 0.27047567227301533   , 0.26440800026198796   , 0.09853617340888353
-5.0         , 0.0637386705227435    , 0.06260512797727363   , 0.07793092940758806

-5.0         , 0.01881071523596012   , 0.018762265456405608  , 0.011200327035337406
-5.0         , 0.1076719240496814    , 0.10826017835446232   , -0.023662644663818955
-5.0         , 0.2797346403971135    , 0.2696698318232355    , 0.15913885413148862
-5.0         , 0.14534344575382332   , 0.14318606776591744   , 0.0649468960986946
-5.0         , 0.08911017994230341   , 0.08831510550834748   , 0.038923285349697016
-5.0         , 0.0914135133108371    , 0.09066502817266586   , 0.03570599738912476
-5.0         , 0.02934464488033796   , 0.02937136722757804   , -0.003953050738459777
-5.0         , 0.14079406464609312   , 0.13997136794980658   , 0.02545139939441835
-5.0         , 0.15322862945587074   , 0.15179056376003944   , 0.04095143110664781
-5.0         , 0.02681187285716688   , 0.026456721506782587  , 0.05791125484296971
